song,genre
Picked girl And sailed around world Why What else got youre Anyone like Love Will give moon Whoops And beyond voices And danced groove dream forever Starts wake Starts wake Picked girl And sailed around world What yeah sorry Around world Why What else got dont know And know dont know Love give moon dear And beyond voices And danced groove dream forever Starts wake Starts wake,alternative rock
aint got Nothing scared aint got Nothing scared aint got Anything scared Cos love born love Its way come world know But getting getting getting let live life Ill stay end And know lord nearly want tell aint got Nothing scared aint got Nothing scared aint got Anything scared Cause love aint got Nothing scared aint got Nothing scared aint got Nothing scared aint got Nothing scared,alternative rock
far Ive really stayed touch Well knew much surprise today Ill get around two lack anything And might well grin bear Cause worth trouble argument And really stayed touch Well knew much surprise today Ill get around two nothing Except get touch flu And might well grin bear Cause worth trouble argument And case rather wear Its like badhead morning And know And might well grin bear Cause worth trouble argument And case rather wear Its like badhead morning might well grin bear Cause worth trouble argument And case rather wear Your like badhead morning And know,alternative rock
Sitting SDT Waiting underground train rumble underneath feet Bang goes another day Where went could say Now Ill wait another week When said done What said never done Dont panic really worth Bang goes another year one ear Everybodys dont need anyone But little love would make things better But little love would make things better Sitting early bus Passing morning rush makes difference Bang goes another year one ear Everybodys dont need anyone But little love would make things better dont need anyone But little love make things better,alternative rock
Grandma got new dentures eat crust pizza Been taken daughter Because thought oughta The kids eating snickers Because theyre delicious Then theres sticky fingers And mother looses knickers Bank holiday comes six times year Days enjoyment everyone cheers Bank holiday comes six package beer Then back work Barbque cooking Sausages chicken The patio buzzing The neighbors looking John fun pub Drinking lots lager Girls boys game All high streets look Back work Bank holiday,alternative rock
This ballad good times put battery leg Put rock beat anything Get stuck head You got nothing rely Ive broken every bone Everybodys stop believing But know youre alone You This ballad good times And dignity Dont get het evil things You aint coming back You want You,alternative rock
Battle Battle Battle Battle Battle Battle Someone oooh Battle Battle Battle Battle Someone oooh Completion Search Here love bow See walk Adorn new song glory Cos see think Battle Battle Battle Battle Battle Battle Someone oooh Battle Battle Battle Battle Battle Battle Someone oooh Can turn sights kill subzero see turns All gawe Its end Take last one Battle Battle Battle Battle Battle Battle Someone oooh Battle Battle Battle Battle Battle Battle Someone oooh,alternative rock
The point looked Has always part brain Now mind whirl And seems dear special friend Theres never point ever loved mine mine fine wrapped shining days Blackbirds summer time They find low end dear special friend Theres never point ever loved The point looked Has always part brain Now mind whirl And seems dear special friend Theres never point ever loved,alternative rock
Beetlebum What youve done Shes gun Now youve done Beetlebum Get nothing done You beetlebum get numb Now youve done Beetlebum And lets slip away She turns violence gone Nothing wrong slip away gone Nothing wrong She turns slip away gone Beetlebum Because youre young Shes gun Now youve done Beetlebum Shell suck thumb Shell make come Coz shes gun Now youve done Beetlebum And lets slip away She turns violence gone Nothing wrong slip away gone Nothing wrong She turns slip away gone,alternative rock
Bow bells say goodbye last train Over river Out leafy nowhere hope someone Waiting Cabbie mind fare sun works nights much fun Picks London yoyos Soho Please take home Other people wouldnt want hear said best days lives Other people would turn around laugh said best days lives Trellick Towers calling know shell leave morning hotel cells listening dial tones Remote controls cable moans drink hes talking Gets disconnected sleepwalking back home,alternative rock
Put away black book Throw fire Getting side door You one desire Baby hold feel see youre everything Baby touch need nothing Put away black book Put fire Dont give Lord Take spirit higher Nothing behold Dont put fire Baby hold see fear Baby touch You see eyes Put away black book Put fire Ive made mind got nothing hide Ive made mind got nothing hide Give soul Give soul Give soul Give soul Give Give soul,alternative rock
